CustomerID,Name,Age,Gender,State,Genre,Format,Device,Viewing_Frequency,Total_Viewing_Time,Plan,Monthly_Cost,Duration,Rating
61,Melinda Oteh,40,Male,Yobe,News,TV-Shows,Tv-App,6,529831,Elite,10000,11,4
62,Lacey Oliha,38,Male,Lagos,Talk-Shows,TV-Shows,Mobile-App,2,432285,Elite,10000,6,4
63,Veronica Aderemi,24,Male,Niger,Sports,TV-Shows,Tv-App,5,172891,Premium,5000,8,4
64,Lucius Okojie,49,Male,Kwara,News,Live-Events,Tv-App,5,332902,Basic,2500,1,2
65,Stewart Sofoluwe,46,Male,Anambra,Action,Live-Events,Decoder,0,521660,Basic,2500,7,3
66,Keith Ibekwe,49,Male,Nasarawa,Comedy,TV-Shows,Tv-App,2,508788,Premium,5000,4,4
67,Ginger Olunloyo,61,Male,Adamawa,Action,Live-Events,Tv-App,4,384708,Basic,2500,8,5
68,Elvis Bakare,39,Male,Sokoto,News,Live-Events,Browser,3,348590,Basic,2500,11,5
69,Amelia Olaoye,61,Male,Ebonyi,Music,Live-Events,Mobile-App,9,473575,Elite,10000,2,4
70,Byron Adewusi,34,Male,Rivers,Cartoons,TV-Shows,Decoder,2,493898,Premium,5000,3,4
71,Quentin Chibuzor,73,Male,Bayelsa,News,TV-Shows,Decoder,2,380277,Premium,5000,4,3
72,Hadassah Coker,52,Male,Nasarawa,Reality,Live-Events,Browser,9,89691,Premium,5000,5,2
73,Aileen Ajudua,45,Male,Osun,Reality,Live-Events,Mobile-App,6,21959,Premium,5000,8,4
74,Cain Anjorin,24,Male,Bauchi,Cartoons,TV-Shows,Mobile-App,1,441350,Elite,10000,5,4
75,Selma Anjorin,68,Male,Akwa,Religion,Live-Events,Browser,4,144609,Premium,5000,7,3
76,Harper Adewusi,59,Male,Kebbi,Music,TV-Shows,Tv-App,6,545643,Premium,5000,7,4
77,Celeste Adewusi,67,Male,Oyo,Documentaries,TV-Shows,Browser,5,535876,Basic,2500,5,5
78,Adria Ihemeje,45,Male,Oyo,Comedy,Live-Events,Mobile-App,3,52671,Premium,5000,3,1
79,Sydney Maikori,68,Male,Kogi,Comedy,Live-Events,Tv-App,11,469054,Premium,5000,10,2
80,Oleg Aremu,45,Male,Anambra,Drama,Live-Events,Tv-App,3,59269,Premium,5000,3,4
81,Nicholas Ajudua,59,Male,Kogi,Action,Live-Events,Decoder,2,335398,Elite,10000,10,1
82,Finn Onyeama,56,Male,Anambra,Cartoons,TV-Shows,Tv-App,3,172357,Elite,10000,7,3
83,Dominique Adewusi,21,Male,Ondo,Reality,Live-Events,Mobile-App,4,521012,Premium,5000,2,4
84,Fleur Fuwape,28,Male,Imo,Cartoons,Live-Events,Decoder,6,90206,Basic,2500,2,2
85,Guinevere Coker,56,Male,Bauchi,Comedy,TV-Shows,Decoder,3,67037,Premium,5000,12,4
86,Brennan Udoka,52,Male,Cross,Comedy,Live-Events,Decoder,11,385337,Elite,10000,10,4
87,Indira Onyeama,74,Male,Yobe,Action,TV-Shows,Decoder,8,1367,Premium,5000,4,2
88,Francis Ibekwe,32,Male,Ebonyi,News,TV-Shows,Tv-App,2,466217,Premium,5000,8,2
89,David Abaribe,30,Male,Katsina,Action,TV-Shows,Decoder,2,356281,Basic,2500,6,2
90,Stella Ameobi,72,Male,Edo,Comedy,TV-Shows,Mobile-App,8,157820,Premium,5000,2,3
91,April Onoja,23,Male,Oyo,Sports,TV-Shows,Decoder,9,66553,Elite,10000,10,5
92,Signe Ihemeje,51,Male,Katsina,Religion,TV-Shows,Decoder,7,14125,Premium,5000,1,5
93,Savannah Olaoye,58,Male,Kano,Sports,Live-Events,Decoder,2,73903,Basic,2500,3,1
94,Tad Osakwe,54,Male,Delta,Comedy,Live-Events,Tv-App,2,549366,Premium,5000,8,5
95,Cody Adekugbe,62,Male,Plateau,Documentaries,Live-Events,Mobile-App,10,371605,Premium,5000,3,3
96,Danielle Adeniran,72,Male,Katsina,Comedy,TV-Shows,Decoder,4,436168,Premium,5000,12,2
97,Maya Aladefa,35,Male,Akwa,Documentaries,Live-Events,Decoder,3,76104,Premium,5000,4,5
98,Neville Aremu,26,Male,Adamawa,Sports,Live-Events,Tv-App,0,313019,Premium,5000,2,3
99,Anne Ayanbadejo,44,Male,Jigawa,Cartoons,Live-Events,Decoder,8,116159,Premium,5000,10,5
100,Tara Adekugbe,50,Male,Plateau,Reality,TV-Shows,Decoder,2,64285,Premium,5000,10,2
101,Adrian Ogedegbe,25,Male,Ogun,Music,Live-Events,Tv-App,6,47982,Premium,5000,7,5
102,Hayley Udoka,40,Male,Osun,Music,Live-Events,Mobile-App,2,407749,Basic,2500,11,3
103,Jerome Bakare,31,Male,Borno,Documentaries,Live-Events,Browser,4,413264,Premium,5000,5,2
104,Chastity Gwarzo,63,Male,Cross,Talk-Shows,TV-Shows,Browser,6,307872,Premium,5000,7,5
105,Kieran Aneke,70,Male,Kwara,Talk-Shows,Live-Events,Tv-App,1,493603,Premium,5000,8,2
106,Morgan Okojie,67,Male,Sokoto,Religion,TV-Shows,Decoder,9,73607,Premium,5000,4,3
107,Carlos Olunloyo,58,Male,Kwara,Cartoons,Live-Events,Tv-App,4,340490,Premium,5000,8,5
108,Oprah Adeniran,74,Male,Jigawa,Action,TV-Shows,Mobile-App,3,325417,Premium,5000,1,2
109,Theodore Oliha,24,Male,Benue,Comedy,TV-Shows,Tv-App,6,246264,Elite,10000,4,1
110,Eaton Olonisakin,49,Male,Yobe,Documentaries,Live-Events,Decoder,2,482887,Basic,2500,8,2
111,Claudia Gwarzo,38,Male,Oyo,News,TV-Shows,Tv-App,3,597491,Basic,2500,11,5
112,Jade Abagun,52,Male,Enugu,Drama,TV-Shows,Tv-App,0,177220,Premium,5000,1,1
113,Alisa Ogedegbe,34,Male,Ebonyi,Action,TV-Shows,Decoder,1,440116,Premium,5000,10,1
114,Rose Gwarzo,69,Male,Bauchi,Music,TV-Shows,Browser,10,352679,Basic,2500,8,4
115,Shaine Abagun,51,Male,Plateau,Comedy,TV-Shows,Mobile-App,8,180380,Premium,5000,10,1
116,Glenna Akinde,49,Male,Osun,News,Live-Events,Mobile-App,4,24163,Premium,5000,7,4
117,Raymond Igbinoghene,69,Male,Kebbi,News,TV-Shows,Mobile-App,10,296356,Premium,5000,7,4
118,Gay Oliha,26,Male,Jigawa,Comedy,Live-Events,Mobile-App,2,181554,Premium,5000,9,2
119,Aline Igbinoghene,49,Male,Gombe,Reality,Live-Events,Tv-App,2,314685,Premium,5000,3,3
120,Zia Makinde,42,Male,Bayelsa,Cartoons,Live-Events,Tv-App,7,264837,Premium,5000,5,2
121,Anthony Onyeama,20,Male,Anambra,Cartoons,Live-Events,Decoder,9,456741,Elite,10000,7,3
122,Raphael Adeniran,41,Male,Nasarawa,Action,TV-Shows,Decoder,2,142730,Premium,5000,9,3
123,Olivia Umelo,45,Male,Jigawa,Talk-Shows,Live-Events,Tv-App,5,492929,Premium,5000,1,1
124,Pandora Sofoluwe,69,Male,Akwa,Reality,TV-Shows,Tv-App,6,553713,Elite,10000,8,5
125,Benjamin Ogedegbe,52,Male,Nasarawa,News,TV-Shows,Decoder,6,17434,Basic,2500,10,2
126,Austin Ayanbadejo,59,Male,Yobe,Cartoons,TV-Shows,Decoder,10,311936,Premium,5000,7,1
127,Uta Fuwape,65,Male,Abia,Sports,Live-Events,Tv-App,8,455981,Elite,10000,3,1
128,Eugenia Okojie,41,Male,Kaduna,Religion,Live-Events,Tv-App,2,578657,Elite,10000,9,3
129,Hanna Nwakaeme,34,Male,Katsina,Reality,TV-Shows,Browser,7,389660,Premium,5000,4,5
130,Edan Coker,27,Male,Cross,Music,TV-Shows,Decoder,2,386844,Premium,5000,11,5
131,Germaine Adekugbe,28,Male,Lagos,Music,Live-Events,Decoder,6,504700,Elite,10000,4,4
132,Sebastian Sofoluwe,71,Male,Kwara,Talk-Shows,TV-Shows,Browser,9,55315,Basic,2500,8,2
133,Rudyard Aderemi,44,Male,River,Comedy,TV-Shows,Mobile-App,4,410273,Basic,2500,3,1
134,Germane Fuwape,46,Male,River,Sports,Live-Events,Browser,1,166738,Premium,5000,2,4
135,Shaeleigh Ibekwe,23,Male,Kebbi,Comedy,TV-Shows,Tv-App,8,304431,Elite,10000,9,3
136,Kyle Abagun,55,Male,Nasarawa,Reality,Live-Events,Decoder,3,286194,Elite,10000,4,1
137,Keefe Adarabioyo,41,Male,Ibom,Reality,Live-Events,Decoder,1,560821,Premium,5000,3,4
138,Sean Abaribe,32,Male,Yobe,Sports,Live-Events,Mobile-App,11,112739,Premium,5000,10,3
139,Azalia Ibekwe,43,Male,Benue,Cartoons,Live-Events,Decoder,10,329980,Elite,10000,2,2
140,Mercedes Aremu,30,Male,Kano,Comedy,TV-Shows,Browser,2,294995,Premium,5000,9,4
141,Xavier Bakare,52,Male,Ogun,Comedy,TV-Shows,Mobile-App,5,541677,Elite,10000,6,3
142,Mark Umelo,70,Male,Bayelsa,Drama,Live-Events,Decoder,9,123733,Elite,10000,12,3
143,Amery Onyeama,24,Male,Benue,Documentaries,Live-Events,Browser,7,499227,Basic,2500,4,4
144,Todd Abadaki,62,Male,Anambra,Cartoons,TV-Shows,Mobile-App,8,484417,Basic,2500,6,3
145,Alisa Laouali,19,Male,Akwa,Comedy,Live-Events,Tv-App,2,98583,Premium,5000,2,2
146,Kasper Oteh,43,Male,Katsina,Music,TV-Shows,Tv-App,0,91869,Basic,2500,8,5
147,Kyle Adewumi,28,Male,Akwa,Comedy,TV-Shows,Decoder,1,211377,Basic,2500,11,5
148,Beatrice Daramola,72,Male,Katsina,Action,TV-Shows,Tv-App,5,299137,Premium,5000,2,2
149,Prescott Idonije,49,Male,Akwa,Religion,Live-Events,Decoder,4,406813,Premium,5000,5,3
150,John Udoka,19,Male,Kogi,Music,Live-Events,Tv-App,9,265112,Basic,2500,6,1
151,Brendan Olonisakin,56,Male,Kebbi,News,Live-Events,Browser,6,397782,Premium,5000,9,3
152,Guinevere Makinde,65,Male,Yobe,Music,Live-Events,Browser,3,34281,Basic,2500,4,3
153,Adara Gwarzo,22,Male,Bayelsa,News,TV-Shows,Mobile-App,2,231496,Premium,5000,4,5
154,Timothy Adeniran,29,Male,Edo,Religion,Live-Events,Tv-App,7,63453,Premium,5000,9,2
155,Stewart Oliha,75,Male,Kwara,Religion,Live-Events,Tv-App,3,492022,Elite,10000,8,3
156,Brooke Onyeama,41,Male,Ebonyi,Sports,Live-Events,Tv-App,0,5549,Basic,2500,7,3
157,Quinn Ibekwe,60,Male,Kwara,Documentaries,Live-Events,Decoder,5,65983,Elite,10000,5,4
158,Yolanda Gwarzo,26,Male,Bauchi,News,Live-Events,Decoder,11,451616,Elite,10000,11,2
159,Vivian Ibekwe,45,Male,Borno,Comedy,TV-Shows,Tv-App,6,305703,Premium,5000,5,4
160,Rae Adeniran,41,Male,Yobe,Religion,Live-Events,Browser,10,128300,Premium,5000,12,4
161,Selma Buraimoh,27,Male,Ebonyi,Reality,Live-Events,Tv-App,9,325470,Premium,5000,3,1
162,Aurelia Igbinoghene,59,Male,Bayelsa,Music,TV-Shows,Browser,4,67534,Premium,5000,9,2
163,Linus Nwakaeme,43,Male,Edo,Sports,Live-Events,Mobile-App,1,216461,Premium,5000,12,4
164,Ulla Chibuzor,52,Male,Adamawa,Comedy,TV-Shows,Tv-App,9,573434,Premium,5000,8,4
165,Karyn Ujah,46,Male,River,Music,TV-Shows,Browser,3,403108,Premium,5000,1,2
166,Emmanuel Buraimoh,26,Male,Taraba,Cartoons,Live-Events,Tv-App,4,448456,Basic,2500,2,5
167,Tate Adekugbe,67,Male,Cross,Talk-Shows,TV-Shows,Decoder,8,347528,Elite,10000,11,2
168,Yardley Aneke,69,Male,Taraba,Comedy,TV-Shows,Decoder,8,186903,Premium,5000,3,3
169,Deanna Ihemeje,45,Male,Bauchi,Cartoons,TV-Shows,Decoder,1,175886,Premium,5000,2,5
170,Christopher Udoka,19,Male,Ogun,News,Live-Events,Decoder,1,120208,Elite,10000,12,1
171,Amela Bakare,57,Male,Kaduna,Sports,Live-Events,Mobile-App,5,590884,Premium,5000,9,4
172,Laura Aremu,65,Male,Rivers,Reality,Live-Events,Browser,2,274734,Premium,5000,2,2
173,Patricia Aneke,25,Male,Katsina,Music,Live-Events,Tv-App,2,448931,Basic,2500,3,4
174,Joan Coker,21,Male,Adamawa,News,Live-Events,Browser,8,127324,Premium,5000,6,3
175,Prescott Onoja,53,Male,Akwa,Comedy,TV-Shows,Tv-App,1,561286,Premium,5000,8,5
176,Ivy Akinde,26,Male,Imo,Documentaries,Live-Events,Tv-App,7,150464,Elite,10000,4,1
177,Zorita Daramola,26,Male,Oyo,Drama,TV-Shows,Decoder,4,415362,Elite,10000,4,2
178,Mia Coker,55,Male,Delta,Comedy,TV-Shows,Decoder,0,598782,Premium,5000,11,3
179,Lenore Chibuzor,39,Male,Kaduna,Cartoons,TV-Shows,Mobile-App,9,474226,Basic,2500,5,5
180,Pascale Ogunode,18,Male,Enugu,Sports,TV-Shows,Tv-App,4,124446,Premium,5000,10,3
181,Brooke Abagun,58,Male,Bayelsa,Documentaries,TV-Shows,Tv-App,3,320387,Premium,5000,7,4
182,Jemima Oteh,46,Male,Plateau,Documentaries,Live-Events,Tv-App,6,387232,Premium,5000,2,1
183,Baxter Ibekwe,66,Male,Oyo,Documentaries,Live-Events,Browser,8,515426,Elite,10000,2,1
184,Leah Onyeama,24,Male,Ogun,Music,TV-Shows,Browser,7,185270,Premium,5000,4,2
185,Wayne Daramola,64,Male,Kebbi,Comedy,Live-Events,Mobile-App,11,269220,Elite,10000,1,4
186,Marshall Oteh,74,Male,Taraba,Comedy,Live-Events,Decoder,4,439286,Premium,5000,4,2
187,Uriah Nwakaeme,44,Male,Imo,News,Live-Events,Tv-App,2,525838,Basic,2500,11,2
188,Larissa Olunloyo,35,Male,River,Cartoons,TV-Shows,Decoder,0,392466,Premium,5000,8,4
189,Gretchen Okojie,29,Male,Gombe,Music,Live-Events,Tv-App,2,377078,Elite,10000,8,4
190,Grace Balarabe,34,Male,Plateau,Documentaries,TV-Shows,Tv-App,8,53764,Premium,5000,4,3
191,Logan Abagun,72,Male,River,Sports,Live-Events,Tv-App,4,318287,Basic,2500,11,3
192,Bianca Bakare,37,Male,Anambra,Sports,TV-Shows,Tv-App,2,469134,Elite,10000,1,3
193,Hector Adewusi,18,Male,Benue,Comedy,TV-Shows,Tv-App,3,74768,Basic,2500,3,5
194,Coby Udoka,56,Male,Plateau,Music,Live-Events,Browser,7,543389,Premium,5000,5,5
195,April Aneke,46,Male,Kano,Documentaries,TV-Shows,Decoder,5,515508,Elite,10000,3,5
196,Alec Coker,64,Male,Osun,Action,TV-Shows,Decoder,1,584939,Elite,10000,7,1
197,Steven Bakare,46,Male,Sokoto,Talk-Shows,Live-Events,Decoder,9,334272,Premium,5000,11,1
198,Kirestin Aladefa,59,Male,Jigawa,News,TV-Shows,Tv-App,7,458029,Premium,5000,2,3
199,Caldwell Ujah,30,Male,Nasarawa,Talk-Shows,Live-Events,Decoder,7,179021,Premium,5000,7,1
200,Claudia Daramola,50,Male,Gombe,Music,TV-Shows,Tv-App,5,442026,Premium,5000,4,2
201,Brynne Laouali,25,Male,Adamawa,Talk-Shows,Live-Events,Decoder,7,117184,Basic,2500,4,5
202,Addison Ogunode,59,Male,Jigawa,Talk-Shows,TV-Shows,Tv-App,6,314477,Premium,5000,8,4
203,Elvis Sofoluwe,69,Male,Katsina,Sports,Live-Events,Decoder,4,121107,Premium,5000,12,4
204,Jessamine Umelo,32,Male,Cross,Drama,Live-Events,Decoder,4,351373,Premium,5000,8,1
205,Ignacia Akinde,29,Male,Osun,Music,TV-Shows,Tv-App,9,520314,Basic,2500,11,2
206,Amos Nwakaeme,39,Male,Sokoto,Reality,TV-Shows,Tv-App,8,26201,Basic,2500,6,4
207,Dorian Abagun,45,Male,Cross,Comedy,Live-Events,Browser,8,379604,Premium,5000,4,5
208,Bevis Abagun,55,Male,Adamawa,News,Live-Events,Browser,3,197055,Premium,5000,6,4
209,Aline Gwarzo,22,Male,Cross,Action,Live-Events,Tv-App,9,457938,Premium,5000,9,2
210,Alyssa Aneke,71,Male,River,Comedy,Live-Events,Browser,10,146555,Elite,10000,8,3
211,Irene Udoka,30,Male,Adamawa,Drama,Live-Events,Decoder,9,592430,Premium,5000,6,3
212,Odette Onyeama,53,Male,Abia,News,TV-Shows,Tv-App,8,200543,Elite,10000,11,2
213,Audra Umelo,35,Male,Bayelsa,News,Live-Events,Decoder,4,104257,Premium,5000,2,5
214,Melanie Umelo,37,Male,Adamawa,Music,TV-Shows,Mobile-App,11,229266,Elite,10000,4,5
215,Nero Ogunode,37,Male,Oyo,Sports,TV-Shows,Mobile-App,10,54777,Elite,10000,9,4
216,Holly Anjorin,25,Male,Bauchi,Action,Live-Events,Decoder,4,555053,Elite,10000,12,2
217,Colton Igbinoghene,59,Male,Niger,Documentaries,Live-Events,Decoder,7,327884,Premium,5000,7,4
218,Kane Nwakaeme,23,Male,Oyo,Religion,Live-Events,Mobile-App,8,367655,Premium,5000,6,2
219,Eaton Igbinoghene,25,Male,Kebbi,Reality,TV-Shows,Mobile-App,9,306425,Elite,10000,8,4
220,Jerome Maikori,75,Male,Anambra,Talk-Shows,Live-Events,Mobile-App,11,8100,Premium,5000,6,5
221,Kieran Ofoedu,62,Male,Enugu,Comedy,TV-Shows,Tv-App,2,533183,Basic,2500,8,4
222,Bianca Maikori,23,Male,Delta,Sports,TV-Shows,Browser,11,1772,Elite,10000,1,3
223,Lawrence Abadaki,38,Male,Kano,Documentaries,Live-Events,Browser,10,52620,Premium,5000,11,4
224,Beverly Laouali,68,Male,Adamawa,Cartoons,Live-Events,Decoder,8,472789,Basic,2500,5,5
225,Alea Nwakaeme,21,Male,Kebbi,News,Live-Events,Decoder,3,527900,Premium,5000,9,1
226,Sybill Umelo,29,Male,Abia,Comedy,TV-Shows,Tv-App,3,538179,Elite,10000,2,4
227,Hannah Abadaki,49,Male,Kwara,Religion,Live-Events,Browser,6,230130,Basic,2500,9,2
228,Pamela Aladefa,32,Male,Yobe,Reality,Live-Events,Tv-App,8,363748,Premium,5000,9,2
229,Phelan Ujah,34,Male,Cross,Music,TV-Shows,Browser,6,562955,Premium,5000,9,3
230,Acton Fuwape,49,Male,Sokoto,Drama,Live-Events,Mobile-App,1,404022,Basic,2500,9,5
231,Kylynn Adewusi,45,Male,Katsina,News,Live-Events,Tv-App,9,533308,Premium,5000,4,5
232,Thaddeus Aremu,53,Male,Edo,Reality,TV-Shows,Tv-App,7,549327,Elite,10000,2,4
233,Hamilton Aladefa,52,Male,Kaduna,News,TV-Shows,Decoder,10,590358,Basic,2500,7,4
234,Reuben Makinde,24,Male,Katsina,Comedy,TV-Shows,Decoder,6,283830,Premium,5000,8,3
235,Aline Olunloyo,47,Male,Ondo,Comedy,Live-Events,Mobile-App,9,442932,Premium,5000,6,3
236,Silas Ofoedu,24,Male,Niger,Reality,TV-Shows,Tv-App,10,373837,Premium,5000,8,2
237,Denton Ihemeje,44,Male,Adamawa,Comedy,TV-Shows,Mobile-App,4,232145,Elite,10000,5,2
238,Eagan Igbinoghene,61,Male,Gombe,Comedy,TV-Shows,Decoder,9,174810,Premium,5000,3,3
239,Ashton Ujah,68,Male,Oyo,Drama,Live-Events,Decoder,2,201306,Premium,5000,3,4
240,Yoshio Chibuzor,31,Male,Benue,Cartoons,Live-Events,Browser,1,262665,Basic,2500,2,4
241,Ethan Abadaki,19,Male,Delta,Religion,TV-Shows,Tv-App,8,552146,Premium,5000,4,2
242,Callum Aremu,28,Male,Taraba,Sports,TV-Shows,Mobile-App,2,107765,Elite,10000,4,4
243,Vaughan Aderemi,67,Male,Kano,Drama,TV-Shows,Decoder,7,552449,Premium,5000,8,4
244,Brenda Nwakaeme,39,Male,River,Action,TV-Shows,Decoder,7,42401,Premium,5000,7,3
245,Dillon Daramola,51,Male,Lagos,Religion,Live-Events,Decoder,2,143809,Premium,5000,3,1
246,Herman Udoka,69,Male,Kano,News,TV-Shows,Decoder,7,157350,Premium,5000,10,2
247,Elliott Onoja,22,Male,Ondo,Comedy,TV-Shows,Browser,11,51589,Elite,10000,5,5
248,Gail Adeniran,74,Male,Plateau,Documentaries,TV-Shows,Decoder,5,520832,Premium,5000,11,1
249,Hayley Adewumi,36,Male,Ibom,Reality,Live-Events,Decoder,9,269262,Basic,2500,2,4
250,Wing Anjorin,66,Male,Imo,Reality,Live-Events,Tv-App,7,200132,Elite,10000,10,4
251,Bradley Ibekwe,21,Male,Osun,Action,TV-Shows,Tv-App,4,357886,Elite,10000,2,5
252,Dorothy Aneke,27,Male,Sokoto,Action,Live-Events,Tv-App,5,56909,Elite,10000,9,2
253,Amaya Abadaki,72,Male,Ebonyi,Comedy,Live-Events,Browser,6,378230,Elite,10000,5,3
254,Ayanna Aladefa,20,Male,Borno,Comedy,TV-Shows,Browser,1,65686,Basic,2500,11,3
255,Rhonda Onyeama,29,Male,Lagos,Talk-Shows,Live-Events,Decoder,10,546067,Premium,5000,7,1
